Range	Count	Percentage
0.0-7.4	3	5.36%
7.4-14.9	6	10.71%
14.9-22.3	11	19.64%
22.3-29.8	10	17.86%
29.8-37.2	14	25.00%
37.2-44.6	2	3.57%
44.6-52.1	4	7.14%
52.1-59.5	0	0.00%
59.5-66.9	1	1.79%
66.9-74.4	2	3.57%
74.4-81.8	1	1.79%
81.8-89.2	0	0.00%
89.2-96.7	0	0.00%
96.7-104.1	1	1.79%
104.1-111.6	0	0.00%
111.6-119.0	0	0.00%
119.0-126.4	1	1.79%
