Elements	Count	Percentage
35	1	2.17%
44	1	2.17%
46	1	2.17%
48	1	2.17%
58	1	2.17%
70	1	2.17%
72	1	2.17%
88	4	8.70%
90	1	2.17%
92	2	4.35%
98	1	2.17%
100	5	10.87%
110	2	4.35%
112	2	4.35%
120	2	4.35%
140	4	8.70%
148	1	2.17%
176	2	4.35%
180	1	2.17%
188	1	2.17%
192	1	2.17%
196	1	2.17%
200	3	6.52%
220	4	8.70%
240	1	2.17%
960	1	2.17%
