Range	Count	Percentage
200–220	1	5.88%
220–240	0	0.00%
240–260	1	5.88%
260–280	0	0.00%
280–300	0	0.00%
300–320	2	11.76%
320–340	0	0.00%
340–360	3	17.65%
360–380	1	5.88%
380–400	0	0.00%
400–420	4	23.53%
420–440	0	0.00%
440–460	1	5.88%
460–480	0	0.00%
480–500	0	0.00%
500–520	1	5.88%
520–540	0	0.00%
540–560	0	0.00%
560–580	0	0.00%
580–600	0	0.00%
600–620	2	11.76%
620–640	0	0.00%
640–660	0	0.00%
660–680	0	0.00%
680–700	0	0.00%
700–720	0	0.00%
720–740	0	0.00%
740–760	0	0.00%
760–780	0	0.00%
780–800	0	0.00%
800–820	1	5.88%
820–840	0	0.00%
