Range	Count	Percentage
0.0-0.6	0	0.00%
0.6-1.1	0	0.00%
1.1-1.7	0	0.00%
1.7-2.2	0	0.00%
2.2-2.8	0	0.00%
2.8-3.4	0	0.00%
3.4-3.9	0	0.00%
3.9-4.5	0	0.00%
4.5-5.0	1	20.00%
5.0-5.6	1	20.00%
5.6-6.2	0	0.00%
6.2-6.7	0	0.00%
6.7-7.3	0	0.00%
7.3-7.8	1	20.00%
7.8-8.4	0	0.00%
8.4-9.0	1	20.00%
9.0-9.5	1	20.00%
9.5-10.1	0	0.00%
10.1-10.6	0	0.00%
10.6-11.2	0	0.00%
11.2-11.8	0	0.00%
11.8-12.3	0	0.00%
12.3-12.9	0	0.00%
12.9-13.4	0	0.00%
13.4-14.0	0	0.00%
