Elements	Count	Percentage
4	3	3.75%
6	1	1.25%
8	1	1.25%
10	3	3.75%
11	4	5.00%
13	3	3.75%
14	4	5.00%
15	1	1.25%
16	2	2.50%
17	3	3.75%
18	4	5.00%
20	2	2.50%
22	1	1.25%
24	8	10.00%
28	3	3.75%
36	5	6.25%
40	4	5.00%
44	4	5.00%
48	4	5.00%
52	6	7.50%
54	1	1.25%
56	4	5.00%
64	1	1.25%
68	2	2.50%
72	2	2.50%
88	1	1.25%
140	1	1.25%
192	1	1.25%
224	1	1.25%
