Range	Count	Percentage
0.77-1.55	8	4.55%
1.55-2.32	24	13.64%
2.32-3.10	53	30.11%
3.10-3.87	24	13.64%
3.87-4.65	24	13.64%
4.65-5.42	15	8.52%
5.42-6.19	11	6.25%
6.19-6.97	5	2.84%
6.97-7.74	1	0.57%
7.74-8.52	4	2.27%
8.52-9.29	1	0.57%
9.29-10.06	4	2.27%
10.06-10.84	0	0.00%
10.84-11.61	1	0.57%
11.61-12.39	0	0.00%
12.39-13.16	0	0.00%
13.16-13.94	0	0.00%
13.94-14.71	0	0.00%
14.71-15.48	0	0.00%
15.48-16.26	0	0.00%
16.26-17.03	0	0.00%
17.03-17.81	0	0.00%
17.81-18.58	0	0.00%
18.58-19.35	0	0.00%
19.35-20.13	0	0.00%
20.13-20.90	0	0.00%
20.90-21.68	0	0.00%
21.68-22.45	0	0.00%
22.45-23.23	0	0.00%
23.23-24.00	0	0.00%
24.00-24.77	0	0.00%
24.77-25.55	1	0.57%
