Range	Count	Percentage
0.0-0.6	1	0.37%
0.6-1.1	18	6.62%
1.1-1.7	39	14.34%
1.7-2.2	57	20.96%
2.2-2.8	56	20.59%
2.8-3.4	32	11.76%
3.4-3.9	28	10.29%
3.9-4.5	13	4.78%
4.5-5.0	11	4.04%
5.0-5.6	2	0.74%
5.6-6.2	3	1.10%
6.2-6.7	0	0.00%
6.7-7.3	3	1.10%
7.3-7.8	1	0.37%
7.8-8.4	3	1.10%
8.4-9.0	1	0.37%
9.0-9.5	1	0.37%
9.5-10.1	2	0.74%
10.1-10.6	0	0.00%
10.6-11.2	0	0.00%
11.2-11.8	0	0.00%
11.8-12.3	0	0.00%
12.3-12.9	0	0.00%
12.9-13.4	0	0.00%
13.4-14.0	1	0.37%
