Time;Valid;Resolution;Frequency;Azimuth;Elevation;Noise;Sun Azimuth;Sun Elevation
2025-05-29 20:16:07;True;5;10368,1;237,5;5,5;-27,61;299,73;8,33
2025-05-29 20:15:45;True;5;10368,1;237,5;10,5;-28,00;299,65;8,37
2025-05-29 20:15:23;True;5;10368,1;237,5;15,5;-27,87;299,57;8,41
2025-05-29 20:15:02;True;5;10368,1;237,5;20,5;-27,29;299,50;8,45
2025-05-29 20:14:39;True;5;10368,1;237,5;25,5;-26,02;299,42;8,49
2025-05-29 20:14:18;True;5;10368,1;237,5;30,5;-24,67;299,35;8,52
2025-05-29 20:13:57;True;5;10368,1;237,5;35,5;-23,68;299,28;8,56
2025-05-29 20:16:30;True;5;10368,1;242,5;5,5;-27,61;299,81;8,29
2025-05-29 20:16:52;True;5;10368,1;242,5;10,5;-27,98;299,88;8,25
2025-05-29 20:17:14;True;5;10368,1;242,5;15,5;-27,96;299,96;8,21
2025-05-29 20:17:36;True;5;10368,1;242,5;20,5;-27,55;300,03;8,17
2025-05-29 20:17:58;True;5;10368,1;242,5;25,5;-26,54;300,11;8,13
2025-05-29 20:18:20;True;5;10368,1;242,5;30,5;-24,97;300,19;8,09
2025-05-29 20:18:43;True;5;10368,1;242,5;35,5;-23,82;300,26;8,05
2025-05-29 20:21:30;True;5;10368,1;247,5;5,5;-25,45;300,84;7,75
2025-05-29 20:21:08;True;5;10368,1;247,5;10,5;-28,06;300,76;7,79
2025-05-29 20:20:46;True;5;10368,1;247,5;15,5;-28,01;300,69;7,83
2025-05-29 20:20:23;True;5;10368,1;247,5;20,5;-27,46;300,61;7,87
2025-05-29 20:20:01;True;5;10368,1;247,5;25,5;-26,05;300,53;7,91
2025-05-29 20:19:40;True;5;10368,1;247,5;30,5;-24,70;300,46;7,95
2025-05-29 20:19:19;True;5;10368,1;247,5;35,5;-23,66;300,39;7,99
2025-05-29 20:22:02;True;5;10368,1;252,5;5,5;-24,64;300,95;7,69
2025-05-29 20:22:24;True;5;10368,1;252,5;10,5;-27,98;301,03;7,66
2025-05-29 20:22:46;True;5;10368,1;252,5;15,5;-28,03;301,10;7,62
2025-05-29 20:23:08;True;5;10368,1;252,5;20,5;-27,65;301,18;7,58
2025-05-29 20:23:30;True;5;10368,1;252,5;25,5;-26,48;301,26;7,54
2025-05-29 20:23:52;True;5;10368,1;252,5;30,5;-25,00;301,33;7,50
2025-05-29 20:24:15;True;5;10368,1;252,5;35,5;-23,86;301,41;7,46
2025-05-29 20:27:06;True;5;10368,1;257,5;5,5;-25,91;302,00;7,16
2025-05-29 20:26:45;True;5;10368,1;257,5;10,5;-28,09;301,93;7,20
2025-05-29 20:26:23;True;5;10368,1;257,5;15,5;-27,89;301,85;7,24
2025-05-29 20:26:00;True;5;10368,1;257,5;20,5;-27,26;301,78;7,28
2025-05-29 20:25:38;True;5;10368,1;257,5;25,5;-25,97;301,70;7,31
2025-05-29 20:25:16;True;5;10368,1;257,5;30,5;-24,61;301,62;7,35
2025-05-29 20:24:55;True;5;10368,1;257,5;35,5;-23,69;301,55;7,39
2025-05-29 20:27:39;True;5;10368,1;262,5;5,5;-27,53;302,12;7,10
2025-05-29 20:28:00;True;5;10368,1;262,5;10,5;-27,97;302,19;7,07
2025-05-29 20:28:22;True;5;10368,1;262,5;15,5;-28,00;302,27;7,03
2025-05-29 20:28:45;True;5;10368,1;262,5;20,5;-27,48;302,35;6,99
2025-05-29 20:29:07;True;5;10368,1;262,5;25,5;-26,26;302,42;6,95
2025-05-29 20:29:29;True;5;10368,1;262,5;30,5;-24,81;302,50;6,91
2025-05-29 20:29:51;True;5;10368,1;262,5;35,5;-23,76;302,58;6,87
2025-05-29 20:32:25;True;5;10368,1;267,5;5,5;-27,63;303,11;6,61
2025-05-29 20:32:03;True;5;10368,1;267,5;10,5;-28,07;303,03;6,64
2025-05-29 20:31:40;True;5;10368,1;267,5;15,5;-27,94;302,96;6,68
2025-05-29 20:31:19;True;5;10368,1;267,5;20,5;-27,17;302,88;6,72
2025-05-29 20:30:57;True;5;10368,1;267,5;25,5;-25,78;302,80;6,76
2025-05-29 20:30:36;True;5;10368,1;267,5;30,5;-24,32;302,73;6,79
2025-05-29 20:30:15;True;5;10368,1;267,5;35,5;-23,57;302,66;6,83
2025-05-29 20:32:49;True;5;10368,1;272,5;5,5;-27,33;303,19;6,56
2025-05-29 20:33:10;True;5;10368,1;272,5;10,5;-27,86;303,27;6,53
2025-05-29 20:33:32;True;5;10368,1;272,5;15,5;-27,85;303,34;6,49
2025-05-29 20:33:55;True;5;10368,1;272,5;20,5;-27,22;303,42;6,45
2025-05-29 20:34:17;True;5;10368,1;272,5;25,5;-25,91;303,50;6,41
2025-05-29 20:34:39;True;5;10368,1;272,5;30,5;-24,53;303,58;6,38
2025-05-29 20:35:01;True;5;10368,1;272,5;35,5;-23,65;303,65;6,34
2025-05-29 20:37:37;True;5;10368,1;277,5;5,5;-27,28;304,20;6,07
2025-05-29 20:37:15;True;5;10368,1;277,5;10,5;-27,55;304,12;6,11
2025-05-29 20:36:53;True;5;10368,1;277,5;15,5;-27,37;304,04;6,15
2025-05-29 20:36:31;True;5;10368,1;277,5;20,5;-26,56;303,97;6,18
2025-05-29 20:36:09;True;5;10368,1;277,5;25,5;-25,22;303,89;6,22
2025-05-29 20:35:47;True;5;10368,1;277,5;30,5;-24,09;303,81;6,26
2025-05-29 20:35:26;True;5;10368,1;277,5;35,5;-23,54;303,74;6,30
2025-05-29 20:38:03;True;5;10368,1;282,5;5,5;-26,69;304,29;6,03
2025-05-29 20:38:25;True;5;10368,1;282,5;10,5;-26,99;304,36;5,99
2025-05-29 20:38:47;True;5;10368,1;282,5;15,5;-26,89;304,44;5,95
2025-05-29 20:39:09;True;5;10368,1;282,5;20,5;-26,21;304,52;5,92
2025-05-29 20:39:30;True;5;10368,1;282,5;25,5;-25,18;304,59;5,88
2025-05-29 20:39:53;True;5;10368,1;282,5;30,5;-23,99;304,67;5,84
2025-05-29 20:40:15;True;5;10368,1;282,5;35,5;-23,37;304,74;5,81
2025-05-29 20:42:50;True;5;10368,1;287,5;5,5;-26,17;305,29;5,54
2025-05-29 20:42:28;True;5;10368,1;287,5;10,5;-26,26;305,21;5,58
2025-05-29 20:42:06;True;5;10368,1;287,5;15,5;-26,08;305,13;5,62
2025-05-29 20:41:44;True;5;10368,1;287,5;20,5;-25,39;305,05;5,66
2025-05-29 20:41:21;True;5;10368,1;287,5;25,5;-24,52;304,98;5,69
2025-05-29 20:40:59;True;5;10368,1;287,5;30,5;-23,63;304,90;5,73
2025-05-29 20:40:39;True;5;10368,1;287,5;35,5;-23,32;304,83;5,76
