Range	Count	Percentage
0.0-0.6	1	0.38%
0.6-1.1	17	6.46%
1.1-1.7	35	13.31%
1.7-2.2	55	20.91%
2.2-2.8	54	20.53%
2.8-3.4	31	11.79%
3.4-3.9	29	11.03%
3.9-4.5	13	4.94%
4.5-5.0	10	3.80%
5.0-5.6	2	0.76%
5.6-6.2	3	1.14%
6.2-6.7	0	0.00%
6.7-7.3	3	1.14%
7.3-7.8	1	0.38%
7.8-8.4	4	1.52%
8.4-9.0	1	0.38%
9.0-9.5	1	0.38%
9.5-10.1	2	0.76%
10.1-10.6	0	0.00%
10.6-11.2	0	0.00%
11.2-11.8	0	0.00%
11.8-12.3	0	0.00%
12.3-12.9	0	0.00%
12.9-13.4	0	0.00%
13.4-14.0	1	0.38%
