TRP: L, Date: 2023-03-11, Callsign: EA5GHD, Grid locator: IM98ne, Coord: (38.17, -0.92)
TRP: L, Date: 2023-03-11, Callsign: HB4AHO, Grid locator: JN36be, Coord: (46.17, 6.08)
TRP: L, Date: 2023-03-11, Callsign: EA3A, Grid locator: JN11ck, Coord: (41.42, 2.17)
TRP: L, Date: 2023-03-10, Callsign: IZ8PPI, Grid locator: JN61gv, Coord: (41.88, 12.5)
TRP: L, Date: 2023-03-10, Callsign: YU4SMT, Grid locator: KN04ft, Coord: (44.79, 20.42)
TRP: L, Date: 2023-03-08, Callsign: RW0CW, Grid locator: QN08dx, Coord: (48.96, 140.25)
TRP: L, Date: 2023-03-07, Callsign: DJ3RO, Grid locator: JO62rm, Coord: (52.5, 13.42)
TRP: L, Date: 2023-03-06, Callsign: A71EM, Grid locator: LL55sg, Coord: (25.25, 51.5)
TRP: L, Date: 2023-03-04, Callsign: YT1CI, Grid locator: KN04ft, Coord: (44.79, 20.42)
TRP: L, Date: 2023-03-04, Callsign: ON5RI, Grid locator: JO21aa, Coord: (51.0, 4.0)
TRP: L, Date: 2023-03-01, Callsign: GJ6WRI, Grid locator: IN89vf, Coord: (49.21, -2.25)
TRP: L, Date: 2023-02-28, Callsign: K1VZI, Grid locator: FN43dm, Coord: (43.5, -71.75)
TRP: L, Date: 2023-02-25, Callsign: DL9AP, Grid locator: JN48el, Coord: (48.46, 8.33)
TRP: L, Date: 2023-02-25, Callsign: RC2DN, Grid locator: KO85lq, Coord: (55.67, 36.92)
TRP: L, Date: 2023-02-20, Callsign: JR2ZJ, Grid locator: PM85ke, Coord: (35.17, 136.83)
TRP: L, Date: 2023-02-19, Callsign: BH8DKD, Grid locator: OM20aq, Coord: (30.67, 104.0)
TRP: L, Date: 2023-02-19, Callsign: KE5NJ, Grid locator: FM29eg, Coord: (39.25, -75.67)
TRP: L, Date: 2023-02-19, Callsign: DK8WU, Grid locator: JO32ma, Coord: (52.0, 7.0)
TRP: L, Date: 2023-02-18, Callsign: IK3RIQ, Grid locator: JN65bk, Coord: (45.42, 12.08)
TRP: L, Date: 2023-02-16, Callsign: YO2DNO, Grid locator: KN34bk, Coord: (44.42, 26.08)
TRP: L, Date: 2023-02-14, Callsign: DJ4RO, Grid locator: JO62rm, Coord: (52.5, 13.42)
TRP: L, Date: 2023-02-12, Callsign: IZ8EYN, Grid locator: JN61gv, Coord: (41.88, 12.5)
TRP: L, Date: 2023-02-12, Callsign: JR6RKM, Grid locator: PL36xl, Coord: (26.46, 127.92)
TRP: L, Date: 2023-02-12, Callsign: E29EHU, Grid locator: NJ97tn, Coord: (7.54, 99.58)
TRP: L, Date: 2023-02-10, Callsign: F5PZQ, Grid locator: JN18dx, Coord: (48.96, 2.25)
TRP: L, Date: 2023-02-10, Callsign: EA8DID, Grid locator: IL18ul, Coord: (28.46, -16.33)
TRP: L, Date: 2023-02-03, Callsign: UN0NZZ, Grid locator: MN42th, Coord: (42.29, 69.58)
TRP: L, Date: 2023-01-29, Callsign: PA3GAN, Grid locator: JO21cw, Coord: (51.92, 4.17)
TRP: L, Date: 2023-01-28, Callsign: EA1DR, Grid locator: IN81dj, Coord: (41.38, -3.75)
TRP: L, Date: 2023-01-28, Callsign: YO2LOG, Grid locator: KN34bk, Coord: (44.42, 26.08)
TRP: L, Date: 2023-01-28, Callsign: IZ8EIN, Grid locator: JN71aa, Coord: (41.0, 14.0)
TRP: L, Date: 2023-01-25, Callsign: OH1NHW, Grid locator: KP20le, Coord: (60.17, 24.92)
TRP: L, Date: 2023-01-24, Callsign: W4DNQ, Grid locator: EM80wg, Coord: (30.25, -82.17)
TRP: L, Date: 2023-01-21, Callsign: RA3DRC, Grid locator: KO85lq, Coord: (55.67, 36.92)
TRP: L, Date: 2023-01-18, Callsign: JN1PFW, Grid locator: PM95vq, Coord: (35.67, 139.75)
TRP: L, Date: 2023-01-16, Callsign: ON3GMB, Grid locator: JO20pw, Coord: (50.92, 5.25)
TRP: L, Date: 2023-01-15, Callsign: HA5BWN, Grid locator: JN97mm, Coord: (47.5, 19.0)
TRP: L, Date: 2023-01-15, Callsign: IW8APX, Grid locator: JN71aa, Coord: (41.0, 14.0)
TRP: L, Date: 2023-01-14, Callsign: YU0W, Grid locator: KN04ft, Coord: (44.79, 20.42)
TRP: L, Date: 2023-01-13, Callsign: N2ACQ, Grid locator: EM97xf, Coord: (37.21, -80.08)
TRP: L, Date: 2023-01-13, Callsign: KO4PDI, Grid locator: EM83ve, Coord: (33.17, -82.25)
TRP: L, Date: 2023-01-12, Callsign: SV8CS, Grid locator: JM99vp, Coord: (39.62, 19.75)
TRP: L, Date: 2023-01-10, Callsign: R3VA, Grid locator: LO05io, Coord: (55.58, 40.67)
TRP: L, Date: 2023-01-10, Callsign: G0CRV, Grid locator: IO91wm, Coord: (51.5, -0.17)
TRP: L, Date: 2023-01-09, Callsign: G8XXL, Grid locator: IO91wm, Coord: (51.5, -0.17)
TRP: L, Date: 2023-01-08, Callsign: BH3GIS, Grid locator: ON40us, Coord: (40.75, 109.67)
TRP: L, Date: 2023-01-07, Callsign: F5WBI, Grid locator: JN19aa, Coord: (49.0, 2.0)
TRP: L, Date: 2023-01-07, Callsign: R6BY, Grid locator: KN95ri, Coord: (45.33, 39.42)
TRP: L, Date: 2023-01-05, Callsign: DH1OK, Grid locator: JN48rw, Coord: (48.92, 9.42)
TRP: L, Date: 2023-01-05, Callsign: DH8IAT, Grid locator: JN49gc, Coord: (49.08, 8.5)
TRP: L, Date: 2023-01-03, Callsign: IK0UFG, Grid locator: JN62aa, Coord: (42.0, 12.0)
TRP: L, Date: 2023-01-03, Callsign: G1XXT, Grid locator: IO91wm, Coord: (51.5, -0.17)
TRP: L, Date: 2023-01-03, Callsign: DM1DDD, Grid locator: JO32ma, Coord: (52.0, 7.0)
TRP: L, Date: 2023-01-01, Callsign: EA3YAK, Grid locator: JN11ck, Coord: (41.42, 2.17)
TRP: L, Date: 2023-01-01, Callsign: M0NC, Grid locator: IO91wm, Coord: (51.5, -0.17)
TRP: L, Date: 2022-12-31, Callsign: IK7MQ, Grid locator: JN80ma, Coord: (40.0, 17.0)
TRP: L, Date: 2022-12-31, Callsign: HA5BW, Grid locator: JN97mo, Coord: (47.58, 19.0)
TRP: L, Date: 2022-12-30, Callsign: M0MLJ, Grid locator: IO93le, Coord: (53.17, -1.08)
TRP: L, Date: 2022-12-30, Callsign: DK6DBG, Grid locator: JO32ma, Coord: (52.0, 7.0)
TRP: L, Date: 2022-12-30, Callsign: DL6KPG, Grid locator: JO32ma, Coord: (52.0, 7.0)
TRP: L, Date: 2022-12-27, Callsign: G6UST, Grid locator: IO91wm, Coord: (51.5, -0.17)
TRP: L, Date: 2022-12-27, Callsign: DF6WU, Grid locator: JO32ma, Coord: (52.0, 7.0)
TRP: L, Date: 2022-12-27, Callsign: G1AK, Grid locator: IO91wm, Coord: (51.5, -0.17)
TRP: L, Date: 2022-12-26, Callsign: IK3XJZ, Grid locator: JN55ma, Coord: (45.0, 11.0)
