TRP: L, Date: 2023-03-05, Callsign: BG6HXD, Grid locator: OM81ou, Coordinates: (31.833333333333332, 117.16666666666667)
TRP: L, Date: 2023-03-04, Callsign: EI2KW, Grid locator: IO63wi, Coordinates: (53.333333333333336, -6.166666666666667)
TRP: L, Date: 2023-03-04, Callsign: RV3IP, Grid locator: KO77hd, Coordinates: (57.125, 34.583333333333336)
TRP: L, Date: 2023-03-04, Callsign: F4CWZ, Grid locator: JN38bq, Coordinates: (48.666666666666664, 6.083333333333333)
TRP: L, Date: 2023-03-03, Callsign: SP7OQI, Grid locator: JO91rs, Coordinates: (51.75, 19.416666666666668)
TRP: L, Date: 2023-03-03, Callsign: DO7OO, Grid locator: JO62rm, Coordinates: (52.5, 13.416666666666666)
TRP: L, Date: 2023-03-03, Callsign: SP7OJI, Grid locator: JO91rs, Coordinates: (51.75, 19.416666666666668)
TRP: L, Date: 2023-02-28, Callsign: UR9FCC, Grid locator: KN56aa, Coordinates: (46.0, 30.0)
TRP: L, Date: 2023-02-26, Callsign: ON4AOL, Grid locator: JO21af, Coordinates: (51.208333333333336, 4.0)
TRP: L, Date: 2023-02-25, Callsign: RW6HOA, Grid locator: LN15pb, Coordinates: (45.041666666666664, 43.25)
TRP: L, Date: 2023-02-25, Callsign: OK2ZC, Grid locator: JN89hi, Coordinates: (49.333333333333336, 16.583333333333332)
TRP: L, Date: 2023-02-24, Callsign: IK6GMZ, Grid locator: JN63aa, Coordinates: (43.0, 12.0)
TRP: L, Date: 2023-02-22, Callsign: EA5IYL, Grid locator: IN81dj, Coordinates: (41.375, -3.75)
TRP: L, Date: 2023-02-20, Callsign: OM5TE, Grid locator: JN98bh, Coordinates: (48.291666666666664, 18.083333333333332)
TRP: L, Date: 2023-02-19, Callsign: PD0MLR, Grid locator: JO22kj, Coordinates: (52.375, 4.833333333333333)
TRP: L, Date: 2023-02-19, Callsign: BH9DKD, Grid locator: OM44kg, Coordinates: (34.25, 108.83333333333333)
TRP: L, Date: 2023-02-18, Callsign: EI5GB, Grid locator: IO63wi, Coordinates: (53.333333333333336, -6.166666666666667)
TRP: L, Date: 2023-02-18, Callsign: BI4KSR, Grid locator: OM86mq, Coordinates: (36.666666666666664, 117.0)
TRP: L, Date: 2023-02-18, Callsign: SV1LJJ, Grid locator: KM17ux, Coordinates: (37.958333333333336, 23.666666666666668)
TRP: L, Date: 2023-02-16, Callsign: EB1ITJ, Grid locator: IN81dj, Coordinates: (41.375, -3.75)
TRP: L, Date: 2023-02-15, Callsign: IW3RGM, Grid locator: JN55ma, Coordinates: (45.0, 11.0)
TRP: L, Date: 2023-02-15, Callsign: ES4SA, Grid locator: KO49ci, Coordinates: (59.333333333333336, 28.166666666666668)
TRP: L, Date: 2023-02-15, Callsign: M0SSM, Grid locator: IO91wm, Coordinates: (51.5, -0.16666666666666674)
